variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,max,mean,271.0,302.59,0.38,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_max_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,mean,min,269.5,300.19,11.8,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,mean,max,270.48,296.38,0.37,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,min,max,269.5,292.11,0.29,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,min,max,269.94,299.17,2.45,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,mean,mean,269.5,300.19,12.29,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,mean,max,271.42,283.89,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,max,min,271.0,302.59,0.12,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,mean,max,269.5,300.44,11.44,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,min,mean,269.5,282.0,0.05,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.25,max,none,271.0,302.59,1.09,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736975614487_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,max,mean,271.46,302.59,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_max_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,min,max,269.5,299.17,9.59,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,min,min,269.5,298.7,2.32,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_min_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,min,mean,269.94,292.11,0.12,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,max,max,271.46,302.59,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_max_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.25,mean,none,269.5,300.44,35.09,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736975614487_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,0.5,none,mean,269.5,302.59,55.75,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s1_Y_1736975614487_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,min,mean,269.5,298.7,10.73,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,max,min,269.51,302.59,2.37,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,min,max,269.94,292.11,0.11,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,mean,max,271.42,283.89,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.25,max,none,269.51,302.59,28.44,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736975614487_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,max,max,271.0,302.59,0.34,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_max_max.nc
